,Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
5475,Chuck Fusina,FusiCh00,http://www.pro-football-reference.com/players/F/FusiCh00.htm,http://www.sports-reference.com/cfb/players/chuck-fusina-1.html
5476,Don Bessillieu,BessDo20,http://www.pro-football-reference.com/players/B/BessDo20.htm,
5477,John Zamberlin,ZambJo20,http://www.pro-football-reference.com/players/Z/ZambJo20.htm,
5478,Ron Springs,SpriRo00,http://www.pro-football-reference.com/players/S/SpriRo00.htm,http://www.sports-reference.com/cfb/players/ron-springs-1.html
5479,Dwaine Board,BoarDw20,http://www.pro-football-reference.com/players/B/BoarDw20.htm,
5480,Player,,http://www.pro-football-reference.com,
5481,Ruben Vaughan,VaugRu20,http://www.pro-football-reference.com/players/V/VaugRu20.htm,
5482,Steve Kreider,KreiSt00,http://www.pro-football-reference.com/players/K/KreiSt00.htm,
5483,Robert Gaines,,http://www.pro-football-reference.com,
5484,Mike Burrow,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/rod-stewart-2.html
5485,Ira Matthews,MattIr20,http://www.pro-football-reference.com/players/M/MattIr20.htm,http://www.sports-reference.com/cfb/players/ira-matthews-1.html
5486,Daryl Hunt,HuntDa20,http://www.pro-football-reference.com/players/H/HuntDa20.htm,
5487,Thomas Lott,LottTh20,http://www.pro-football-reference.com/players/L/LottTh20.htm,http://www.sports-reference.com/cfb/players/thomas-lott-2.html
5488,Bob Torrey,TorrBo00,http://www.pro-football-reference.com/players/T/TorrBo00.htm,http://www.sports-reference.com/cfb/players/bob-torrey-1.html
5489,Ricky Ray,RayxRi20,http://www.pro-football-reference.com/players/R/RayxRi20.htm,
5490,John Sullivan,SullJo21,http://www.pro-football-reference.com/players/S/SullJo21.htm,
5491,Jeff McIntyre,McInJe20,http://www.pro-football-reference.com/players/M/McInJe20.htm,
5492,Bill Dufek,,http://www.pro-football-reference.com,
5493,Jimmy Moore,MoorJi20,http://www.pro-football-reference.com/players/M/MoorJi20.htm,http://www.sports-reference.com/cfb/players/jimmy-moore-1.html
5494,Clinton Burrell,BurrCl20,http://www.pro-football-reference.com/players/B/BurrCl20.htm,
5495,Joe Senser,SensJo00,http://www.pro-football-reference.com/players/S/SensJo00.htm,
5496,Dave Simmons,SimmDa21,http://www.pro-football-reference.com/players/S/SimmDa21.htm,
5497,Mike Moroski,MoroMi00,http://www.pro-football-reference.com/players/M/MoroMi00.htm,
5498,Tim Lavender,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/tim-lavender-1.html
5499,Henry Williams,WillHe21,http://www.pro-football-reference.com/players/W/WillHe21.htm,
5500,Bill Murrell,MurrBi21,http://www.pro-football-reference.com/players/M/MurrBi21.htm,
5501,Eddie Hicks,HickEd20,http://www.pro-football-reference.com/players/H/HickEd20.htm,http://www.sports-reference.com/cfb/players/eddie-hicks-2.html
5502,Mike Murphy,MurpMi20,http://www.pro-football-reference.com/players/M/MurpMi20.htm,
5503,Mike Salzano,,http://www.pro-football-reference.com,
5504,Dwayne Woodruff,WoodDw20,http://www.pro-football-reference.com/players/W/WoodDw20.htm,
5505,Steve Lindquist,,http://www.pro-football-reference.com,
5506,Jim Ronan,,http://www.pro-football-reference.com,
5507,Chris DeFrance,DeFrCh20,http://www.pro-football-reference.com/players/D/DeFrCh20.htm,http://www.sports-reference.com/cfb/players/chris-defrance-1.html
5508,Matt Bahr,bahrxmat01,http://www.pro-football-reference.com/players/B/bahrxmat01.htm,
5509,Player,,http://www.pro-football-reference.com,
5510,Phil Francis,FranPh00,http://www.pro-football-reference.com/players/F/FranPh00.htm,http://www.sports-reference.com/cfb/players/phil-francis-1.html
